column,short_name,meaning,units
compute_pool_tax_B,Compute-pool tax,Tax collected on the compute-capital pool,$B/yr
offshore_leak_B,Offshore leak,Compute spending leaked offshore untaxed (0 at shipped),$B/yr
W_survivor,Survivor wage index,Wage index of the still-employed (1.0 = baseline),index
W_survivor_mech,Survivor wage (funded part),Its mechanical (funded-raise) component,index
W_reab,Re-employed wage index,Wage index of the re-employed (Baumol vs crowding; 1.0 = baseline),index
refuge_capacity,Refuge capacity,Un-automated share of the low-exposure refuge (scales re-employment),0-1
survivor_gain_fed_B,Fed tax from raises,Extra federal tax from survivor raises,$B/yr
survivor_gain_state_B,State tax from raises,Extra state tax from survivor raises,$B/yr
survivor_wage_cost_B,Cost of raises,What the standing raises cost firms,$B/yr
survivor_overflow_profit_B,Raise overflow → profit,Raises above the ceiling spilled to profit,$B/yr
survivor_overflow_price_B,Raise overflow → prices,Raises above the ceiling spilled to prices,$B/yr
survivor_overflow_corp_tax_B,Tax on overflow profit,Corporate tax recovered on the profit spill,$B/yr
survivor_market_frac,Market wage response,Market wage response applied this year (elasticity x slack),fraction
survivor_slack_prev,Prior-year slack,Last year's labor-market slack (the market response input),fraction
income_surcharge_fed_B,Income surcharge (fed),Baseline revenue from the income-tax multiplier (federal),$B/yr
income_surcharge_state_B,Income surcharge (state),Baseline revenue from the income-tax multiplier (state),$B/yr
corp_surcharge_fed_B,Capital surcharge (fed),Baseline revenue from the capital-tax multiplier (federal),$B/yr
corp_surcharge_state_B,Capital surcharge (state),Baseline revenue from the capital-tax multiplier (state),$B/yr
excise_surcharge_fed_B,Excise surcharge (fed),Baseline revenue from the consumption-tax multiplier (federal),$B/yr
cons_surcharge_state_B,Consumption surcharge (state),Baseline revenue from the consumption-tax multiplier (state),$B/yr
fed_deficit_B,Deficit change,Change in the federal deficit (positive = worse),$B/yr
fed_debt_B,Debt change (cum.),Accumulated new federal debt incl. interest,"$B, cumulative"
fed_deficit_real_B,Deficit change (real),Deficit change deflated by the price level,"$B/yr, real"
fed_debt_real_B,Debt change (real),Debt change deflated by the price level,"$B, real"
fed_deficit_pct_gdp,Deficit change % GDP,Deficit change as a share of GDP,%
fed_debt_pct_gdp,Debt change % GDP,Debt change as a share of GDP,%
headline_deficit,Headline deficit,The deficit change in the app's chosen display unit,$B or %
fed_revenue_B,Federal revenue (level),ABSOLUTE federal revenue (baseline + all changes),"$B/yr, level"
fed_deficit_abs_B,Federal deficit (level),ABSOLUTE federal deficit (baseline + shock),"$B/yr, level"
fed_deficit_abs_pct_gdp,Deficit % GDP (level),Absolute deficit as a share of trend-grown GDP,%
price_level,Price level,Price index (1.0 = baseline; price cuts deflate it),index
productivity_index,Real output index,Real output index (1.0 = baseline),index
state_net_total_B,State net loss,Combined state revenue loss net of gains (positive = loss),$B/yr
state_gap_B,State shortfall,"Shortfall states must close that year, pre-response",$B/yr
state_gap_cum_B,State shortfall (cum.),That shortfall accumulated over the run,"$B, cumulative"
state_gap_pct_gdp,State shortfall % GDP,The shortfall as a share of GDP,%
state_rate_hike_B,Closed by rate hikes,Closed by state tax-rate increases,$B/yr
state_spending_cut_B,Closed by spending cuts,Closed by state spending cuts (incl. forced at the cap),$B/yr
state_close_residual_B,Close residual,Unclosed remainder (should be ~0),$B/yr
n_states_capped,States at rate cap,States that hit the rate-hike cap,count
state_balanced,All states balanced,All 51 states balanced within tolerance,bool
state_fiscal_position_B,State revenue (level),ABSOLUTE state+local revenue position,"$B/yr, level"
induced_pending_M,Queued demand flow,Demand-driven employment flow queued for next year (signed),millions
standing_withdrawal_B,Standing withdrawal,The standing demand withdrawal the induced stock tracks,"$B, level"
